unit,hlth_pb,sex,time\geo,i,v
PC,PB1040,F,2011,BE,23.3 u
PC,PB1040,F,2011,CZ,17.4 u
PC,PB1040,F,2011,DK,24 u
PC,PB1040,F,2011,IE,35.1
PC,PB1040,F,2011,ES,38.4
PC,PB1040,F,2011,FR,35.3 u
PC,PB1040,F,2011,IT,12.4
PC,PB1040,F,2011,LU,36.6
PC,PB1040,F,2011,NL,24.7 u
PC,PB1040,F,2011,AT,34.7 u
PC,PB1040,F,2011,PL,22.4 u
PC,PB1040,F,2011,PT,26.1
PC,PB1040,F,2011,SI,25 u
PC,PB1040,F,2011,FI,44.9
PC,PB1040,F,2011,SE,38.2
PC,PB1040,F,2011,CH,20.4 u
PC,PB1040,F,2011,UK,33.7
PC,PB1040,F,2011,TR,7.2
PC,PB1040,M,2011,BE,16 u
PC,PB1040,M,2011,ES,30.1
PC,PB1040,M,2011,FR,29.3 u
PC,PB1040,M,2011,IT,5.6 u
PC,PB1040,M,2011,LU,38.2 u
PC,PB1040,M,2011,NL,21.2 u
PC,PB1040,M,2011,PL,11.7 u
PC,PB1040,M,2011,SI,18 u
PC,PB1040,M,2011,FI,29.1
PC,PB1040,M,2011,SE,18.3 u
PC,PB1040,M,2011,CH,25 u
PC,PB1040,M,2011,UK,26.2
PC,PB1040,M,2011,TR,10.7
PC,PB1040,T,2011,BE,19.6
PC,PB1040,T,2011,CZ,10.7 u
PC,PB1040,T,2011,DK,19.1
PC,PB1040,T,2011,DE,14.2
PC,PB1040,T,2011,IE,27.5
PC,PB1040,T,2011,ES,34.8
PC,PB1040,T,2011,FR,32.6
PC,PB1040,T,2011,IT,8.8
PC,PB1040,T,2011,LU,37.3
PC,PB1040,T,2011,HU,11.6 u
PC,PB1040,T,2011,NL,23.3 u
PC,PB1040,T,2011,AT,25.5
PC,PB1040,T,2011,PL,17.0
PC,PB1040,T,2011,PT,22.3
PC,PB1040,T,2011,RO,17.9 u
PC,PB1040,T,2011,SI,20.6 u
PC,PB1040,T,2011,FI,36.7
PC,PB1040,T,2011,SE,29.7
PC,PB1040,T,2011,CH,22.3
PC,PB1040,T,2011,UK,30.4
PC,PB1040,T,2011,TR,8.8
PC,PB1041,F,2011,BE,53.8
PC,PB1041,F,2011,BG,39.1
PC,PB1041,F,2011,CZ,27.4
PC,PB1041,F,2011,DK,49.1
PC,PB1041,F,2011,DE,30.5
PC,PB1041,F,2011,EE,51.0
PC,PB1041,F,2011,IE,56.7
PC,PB1041,F,2011,EL,31.0
PC,PB1041,F,2011,ES,47.4
PC,PB1041,F,2011,FR,51.5
PC,PB1041,F,2011,HR,33.1 u
PC,PB1041,F,2011,IT,25.0
PC,PB1041,F,2011,CY,52.3
PC,PB1041,F,2011,LV,46.1
PC,PB1041,F,2011,LT,53.0
PC,PB1041,F,2011,LU,49.7
PC,PB1041,F,2011,HU,33.6
PC,PB1041,F,2011,MT,24.4
PC,PB1041,F,2011,NL,47.1
PC,PB1041,F,2011,AT,23.9
PC,PB1041,F,2011,PL,43.6
PC,PB1041,F,2011,PT,29.6
PC,PB1041,F,2011,RO,19.7
PC,PB1041,F,2011,SI,49.3
PC,PB1041,F,2011,SK,27.3
PC,PB1041,F,2011,FI,58.0
PC,PB1041,F,2011,SE,58.7
PC,PB1041,F,2011,IS,62.9
PC,PB1041,F,2011,CH,42.3
PC,PB1041,F,2011,UK,49.7
PC,PB1041,F,2011,TR,15.0
PC,PB1041,M,2011,BE,40.4
PC,PB1041,M,2011,BG,21.0
PC,PB1041,M,2011,CZ,21.1
PC,PB1041,M,2011,DK,37.8
PC,PB1041,M,2011,DE,29.1
PC,PB1041,M,2011,EE,31.8
PC,PB1041,M,2011,IE,44.4
PC,PB1041,M,2011,EL,25.9
PC,PB1041,M,2011,ES,38.7
PC,PB1041,M,2011,FR,44.8
PC,PB1041,M,2011,HR,18.3 u
PC,PB1041,M,2011,IT,15.3
PC,PB1041,M,2011,CY,38.7
PC,PB1041,M,2011,LV,28.3
PC,PB1041,M,2011,LT,38.6
PC,PB1041,M,2011,LU,49.9
PC,PB1041,M,2011,HU,23.6
PC,PB1041,M,2011,MT,30.1
PC,PB1041,M,2011,NL,39.2
PC,PB1041,M,2011,AT,25.2
PC,PB1041,M,2011,PL,31.8
PC,PB1041,M,2011,PT,20.2
PC,PB1041,M,2011,RO,20.3
PC,PB1041,M,2011,SI,28.3
PC,PB1041,M,2011,SK,19.6
PC,PB1041,M,2011,FI,41.0
PC,PB1041,M,2011,SE,44.6
PC,PB1041,M,2011,IS,40.0
PC,PB1041,M,2011,CH,47.3
PC,PB1041,M,2011,UK,44.6
PC,PB1041,M,2011,TR,19.1
PC,PB1041,T,2011,BE,47.0
PC,PB1041,T,2011,BG,29.7
PC,PB1041,T,2011,CZ,24.2
PC,PB1041,T,2011,DK,43.3
PC,PB1041,T,2011,DE,29.8
PC,PB1041,T,2011,EE,41.3
PC,PB1041,T,2011,IE,50.6
PC,PB1041,T,2011,EL,28.4
PC,PB1041,T,2011,ES,43.0
PC,PB1041,T,2011,FR,48.1
PC,PB1041,T,2011,HR,25.8
PC,PB1041,T,2011,IT,20.2
PC,PB1041,T,2011,CY,45.9
PC,PB1041,T,2011,LV,37.2
PC,PB1041,T,2011,LT,45.9
PC,PB1041,T,2011,LU,49.8
PC,PB1041,T,2011,HU,28.4
PC,PB1041,T,2011,MT,27.2
PC,PB1041,T,2011,NL,43.1
PC,PB1041,T,2011,AT,24.6
PC,PB1041,T,2011,PL,37.6
PC,PB1041,T,2011,PT,24.7
PC,PB1041,T,2011,RO,20.0
PC,PB1041,T,2011,SI,38.4
PC,PB1041,T,2011,SK,23.3
PC,PB1041,T,2011,FI,49.6
PC,PB1041,T,2011,SE,51.4
PC,PB1041,T,2011,IS,51.5
PC,PB1041,T,2011,CH,44.9
PC,PB1041,T,2011,UK,47.1
PC,PB1041,T,2011,TR,17.1
PC,PB1070,F,2011,BE,20.4 u
PC,PB1070,F,2011,CZ,19.2 u
PC,PB1070,F,2011,DK,24.4 u
PC,PB1070,F,2011,IE,21.1
PC,PB1070,F,2011,ES,43.2
PC,PB1070,F,2011,FR,40 u
PC,PB1070,F,2011,IT,14.5 u
PC,PB1070,F,2011,LU,35 u
PC,PB1070,F,2011,NL,23.3 u
PC,PB1070,F,2011,PL,18.7 u
PC,PB1070,F,2011,PT,25.7
PC,PB1070,F,2011,SI,25 u
PC,PB1070,F,2011,FI,42.5
PC,PB1070,F,2011,SE,38.3
PC,PB1070,F,2011,IS,43.3
PC,PB1070,F,2011,CH,25.8 u
PC,PB1070,F,2011,UK,25.8
PC,PB1070,F,2011,TR,5.9
PC,PB1070,M,2011,BE,14.1 u
PC,PB1070,M,2011,CZ,5.2 u
PC,PB1070,M,2011,IE,19.5
PC,PB1070,M,2011,ES,25.6
PC,PB1070,M,2011,IT,8.7 u
PC,PB1070,M,2011,NL,19.9 u
PC,PB1070,M,2011,PL,8.3 u
PC,PB1070,M,2011,SI,25.4 u
PC,PB1070,M,2011,FI,22.1
PC,PB1070,M,2011,SE,28.2
PC,PB1070,M,2011,CH,37.9
PC,PB1070,M,2011,UK,25.0
PC,PB1070,M,2011,TR,7.9
PC,PB1070,T,2011,BE,17.8
PC,PB1070,T,2011,CZ,11.3 u
PC,PB1070,T,2011,DK,21.7
PC,PB1070,T,2011,IE,20.3
PC,PB1070,T,2011,ES,35.3
PC,PB1070,T,2011,FR,33.8
PC,PB1070,T,2011,IT,11.2
PC,PB1070,T,2011,CY,17.9 u
PC,PB1070,T,2011,LU,32.1 u
PC,PB1070,T,2011,NL,22.1 u
PC,PB1070,T,2011,AT,17.5 u
PC,PB1070,T,2011,PL,13.2 u
PC,PB1070,T,2011,PT,18.0
PC,PB1070,T,2011,SI,25.2 u
PC,PB1070,T,2011,FI,33.0
PC,PB1070,T,2011,SE,34.0
PC,PB1070,T,2011,IS,40.9
PC,PB1070,T,2011,CH,32.5
PC,PB1070,T,2011,UK,25.4
PC,PB1070,T,2011,TR,6.8
PC,PB1071,F,2011,BE,54.5
PC,PB1071,F,2011,BG,39.1
PC,PB1071,F,2011,CZ,27.5
PC,PB1071,F,2011,DK,49.9
PC,PB1071,F,2011,DE,31.1
PC,PB1071,F,2011,EE,51.3
PC,PB1071,F,2011,IE,57.6
PC,PB1071,F,2011,EL,31.1
PC,PB1071,F,2011,ES,47.4
PC,PB1071,F,2011,FR,50.5
PC,PB1071,F,2011,HR,33.1 u
PC,PB1071,F,2011,IT,24.7
PC,PB1071,F,2011,CY,52.8
PC,PB1071,F,2011,LV,45.4
PC,PB1071,F,2011,LT,52.9
PC,PB1071,F,2011,LU,49.3
PC,PB1071,F,2011,HU,33.8
PC,PB1071,F,2011,MT,24.7
PC,PB1071,F,2011,NL,47.4
PC,PB1071,F,2011,AT,25.8
PC,PB1071,F,2011,PL,43.5
PC,PB1071,F,2011,PT,29.7
PC,PB1071,F,2011,RO,20.2
PC,PB1071,F,2011,SI,50.4
PC,PB1071,F,2011,SK,27.6
PC,PB1071,F,2011,FI,58.2
PC,PB1071,F,2011,SE,59.2
PC,PB1071,F,2011,IS,62.2
PC,PB1071,F,2011,CH,41.6
PC,PB1071,F,2011,UK,49.9
PC,PB1071,F,2011,TR,15.3
PC,PB1071,M,2011,BE,40.0
PC,PB1071,M,2011,BG,21.2
PC,PB1071,M,2011,CZ,21.4
PC,PB1071,M,2011,DK,37.2
PC,PB1071,M,2011,DE,28.6
PC,PB1071,M,2011,EE,31.4
PC,PB1071,M,2011,IE,44.8
PC,PB1071,M,2011,EL,26.0
PC,PB1071,M,2011,ES,39.0
PC,PB1071,M,2011,FR,44.7
PC,PB1071,M,2011,HR,17.9 u
PC,PB1071,M,2011,IT,15.1
PC,PB1071,M,2011,CY,38.8
PC,PB1071,M,2011,LV,27.6
PC,PB1071,M,2011,LT,38.9
PC,PB1071,M,2011,LU,49.2
PC,PB1071,M,2011,HU,23.6
PC,PB1071,M,2011,MT,29.5
PC,PB1071,M,2011,NL,39.1
PC,PB1071,M,2011,AT,24.6
PC,PB1071,M,2011,PL,31.8
PC,PB1071,M,2011,PT,21.0
PC,PB1071,M,2011,RO,20.4
PC,PB1071,M,2011,SI,27.7
PC,PB1071,M,2011,SK,19.9
PC,PB1071,M,2011,FI,41.5
PC,PB1071,M,2011,SE,43.8
PC,PB1071,M,2011,IS,37.5
PC,PB1071,M,2011,CH,46.7
PC,PB1071,M,2011,UK,44.6
PC,PB1071,M,2011,TR,19.4
PC,PB1071,T,2011,BE,47.0
PC,PB1071,T,2011,BG,29.8
PC,PB1071,T,2011,CZ,24.4
PC,PB1071,T,2011,DK,43.3
PC,PB1071,T,2011,DE,29.9
PC,PB1071,T,2011,EE,41.3
PC,PB1071,T,2011,IE,51.3
PC,PB1071,T,2011,EL,28.6
PC,PB1071,T,2011,ES,43.1
PC,PB1071,T,2011,FR,47.6
PC,PB1071,T,2011,HR,25.5
PC,PB1071,T,2011,IT,20.0
PC,PB1071,T,2011,CY,46.2
PC,PB1071,T,2011,LV,36.4
PC,PB1071,T,2011,LT,46.0
PC,PB1071,T,2011,LU,49.2
PC,PB1071,T,2011,HU,28.5
PC,PB1071,T,2011,MT,27.1
PC,PB1071,T,2011,NL,43.2
PC,PB1071,T,2011,AT,25.2
PC,PB1071,T,2011,PL,37.6
PC,PB1071,T,2011,PT,25.2
PC,PB1071,T,2011,RO,20.3
PC,PB1071,T,2011,SI,38.5
PC,PB1071,T,2011,SK,23.6
PC,PB1071,T,2011,FI,49.8
PC,PB1071,T,2011,SE,51.2
PC,PB1071,T,2011,IS,49.4
PC,PB1071,T,2011,CH,44.2
PC,PB1071,T,2011,UK,47.2
PC,PB1071,T,2011,TR,17.4
