unit,barrier,age,sex,time\geo,i,v
THS,PTP_LD1,Y15-44,F,2012,EU27_2007,3773.7 e
THS,PTP_LD1,Y15-44,F,2012,BE,144.4
THS,PTP_LD1,Y15-44,F,2012,BG,46.5
THS,PTP_LD1,Y15-44,F,2012,CZ,51.7
THS,PTP_LD1,Y15-44,F,2012,DK,64.9
THS,PTP_LD1,Y15-44,F,2012,DE,878.9
THS,PTP_LD1,Y15-44,F,2012,EE,11.0
THS,PTP_LD1,Y15-44,F,2012,EL,68.6
THS,PTP_LD1,Y15-44,F,2012,ES,317.0
THS,PTP_LD1,Y15-44,F,2012,FR,324.4
THS,PTP_LD1,Y15-44,F,2012,IT,261.1
THS,PTP_LD1,Y15-44,F,2012,CY,6.2 u
THS,PTP_LD1,Y15-44,F,2012,LV,18.3
THS,PTP_LD1,Y15-44,F,2012,LT,23.9
THS,PTP_LD1,Y15-44,F,2012,LU,5.8
THS,PTP_LD1,Y15-44,F,2012,HU,92.1
THS,PTP_LD1,Y15-44,F,2012,MT,2.2 u
THS,PTP_LD1,Y15-44,F,2012,NL,190.2
THS,PTP_LD1,Y15-44,F,2012,AT,62.0
THS,PTP_LD1,Y15-44,F,2012,PL,232.6
THS,PTP_LD1,Y15-44,F,2012,PT,56.6
THS,PTP_LD1,Y15-44,F,2012,RO,59.3 u
THS,PTP_LD1,Y15-44,F,2012,SI,13.4
THS,PTP_LD1,Y15-44,F,2012,SK,41.0
THS,PTP_LD1,Y15-44,F,2012,FI,36.6
THS,PTP_LD1,Y15-44,F,2012,SE,117.6
THS,PTP_LD1,Y15-44,F,2012,EEA,3842.9 e
THS,PTP_LD1,Y15-44,F,2012,IS,4.0
THS,PTP_LD1,Y15-44,F,2012,NO,65.2
THS,PTP_LD1,Y15-44,F,2012,UK,647.4
THS,PTP_LD1,Y15-44,M,2012,EU27_2007,3468.5 e
THS,PTP_LD1,Y15-44,M,2012,BE,132.0
THS,PTP_LD1,Y15-44,M,2012,BG,45.4
THS,PTP_LD1,Y15-44,M,2012,CZ,37.6
THS,PTP_LD1,Y15-44,M,2012,DK,71.6
THS,PTP_LD1,Y15-44,M,2012,DE,948.4
THS,PTP_LD1,Y15-44,M,2012,EE,10.3
THS,PTP_LD1,Y15-44,M,2012,EL,47.2
THS,PTP_LD1,Y15-44,M,2012,ES,214.8
THS,PTP_LD1,Y15-44,M,2012,FR,316.2
THS,PTP_LD1,Y15-44,M,2012,IT,277.7
THS,PTP_LD1,Y15-44,M,2012,CY,4.7 u
THS,PTP_LD1,Y15-44,M,2012,LV,12.3
THS,PTP_LD1,Y15-44,M,2012,LT,28.8
THS,PTP_LD1,Y15-44,M,2012,LU,5.9
THS,PTP_LD1,Y15-44,M,2012,HU,86.1
THS,PTP_LD1,Y15-44,M,2012,MT,1.2 u
THS,PTP_LD1,Y15-44,M,2012,NL,138.0
THS,PTP_LD1,Y15-44,M,2012,AT,72.0
THS,PTP_LD1,Y15-44,M,2012,PL,169.2
THS,PTP_LD1,Y15-44,M,2012,PT,37.4
THS,PTP_LD1,Y15-44,M,2012,RO,49.6 u
THS,PTP_LD1,Y15-44,M,2012,SI,11.9
THS,PTP_LD1,Y15-44,M,2012,SK,32.7
THS,PTP_LD1,Y15-44,M,2012,FI,44.0
THS,PTP_LD1,Y15-44,M,2012,SE,87.1
THS,PTP_LD1,Y15-44,M,2012,EEA,3525.1 e
THS,PTP_LD1,Y15-44,M,2012,IS,4.0
THS,PTP_LD1,Y15-44,M,2012,NO,52.7
THS,PTP_LD1,Y15-44,M,2012,UK,586.5
THS,PTP_LD1,Y15-44,T,2012,EU27_2007,7242.2 e
THS,PTP_LD1,Y15-44,T,2012,BE,276.4
THS,PTP_LD1,Y15-44,T,2012,BG,91.9
THS,PTP_LD1,Y15-44,T,2012,CZ,89.2
THS,PTP_LD1,Y15-44,T,2012,DK,136.5
THS,PTP_LD1,Y15-44,T,2012,DE,1827.3
THS,PTP_LD1,Y15-44,T,2012,EE,21.3
THS,PTP_LD1,Y15-44,T,2012,EL,115.8
THS,PTP_LD1,Y15-44,T,2012,ES,531.9
THS,PTP_LD1,Y15-44,T,2012,FR,640.6
THS,PTP_LD1,Y15-44,T,2012,IT,538.7
THS,PTP_LD1,Y15-44,T,2012,CY,10.9 u
THS,PTP_LD1,Y15-44,T,2012,LV,30.6
THS,PTP_LD1,Y15-44,T,2012,LT,52.8
THS,PTP_LD1,Y15-44,T,2012,LU,11.7
THS,PTP_LD1,Y15-44,T,2012,HU,178.2
THS,PTP_LD1,Y15-44,T,2012,MT,3.4 u
THS,PTP_LD1,Y15-44,T,2012,NL,328.2
THS,PTP_LD1,Y15-44,T,2012,AT,134.0
THS,PTP_LD1,Y15-44,T,2012,PL,401.8
THS,PTP_LD1,Y15-44,T,2012,PT,94.0
THS,PTP_LD1,Y15-44,T,2012,RO,108.9 u
THS,PTP_LD1,Y15-44,T,2012,SI,25.3
THS,PTP_LD1,Y15-44,T,2012,SK,73.7
THS,PTP_LD1,Y15-44,T,2012,FI,80.6
THS,PTP_LD1,Y15-44,T,2012,SE,204.7
THS,PTP_LD1,Y15-44,T,2012,EEA,7368.0 e
THS,PTP_LD1,Y15-44,T,2012,IS,8.0
THS,PTP_LD1,Y15-44,T,2012,NO,117.8
THS,PTP_LD1,Y15-44,T,2012,UK,1233.9
THS,PTP_LD1,Y45-64,F,2012,EU27_2007,5052.4 e
THS,PTP_LD1,Y45-64,F,2012,BE,148.2
THS,PTP_LD1,Y45-64,F,2012,BG,142.8
THS,PTP_LD1,Y45-64,F,2012,CZ,71.9
THS,PTP_LD1,Y45-64,F,2012,DK,47.3
THS,PTP_LD1,Y45-64,F,2012,DE,987.5
THS,PTP_LD1,Y45-64,F,2012,EE,22.6
THS,PTP_LD1,Y45-64,F,2012,EL,133.5
THS,PTP_LD1,Y45-64,F,2012,ES,366.2
THS,PTP_LD1,Y45-64,F,2012,FR,551.2
THS,PTP_LD1,Y45-64,F,2012,IT,356.8
THS,PTP_LD1,Y45-64,F,2012,CY,7.3
THS,PTP_LD1,Y45-64,F,2012,LV,40.6
THS,PTP_LD1,Y45-64,F,2012,LT,48.3
THS,PTP_LD1,Y45-64,F,2012,LU,4.8
THS,PTP_LD1,Y45-64,F,2012,HU,159.7
THS,PTP_LD1,Y45-64,F,2012,MT,4.6
THS,PTP_LD1,Y45-64,F,2012,NL,201.7
THS,PTP_LD1,Y45-64,F,2012,AT,117.7
THS,PTP_LD1,Y45-64,F,2012,PL,458.7
THS,PTP_LD1,Y45-64,F,2012,PT,110.8
THS,PTP_LD1,Y45-64,F,2012,RO,227.3
THS,PTP_LD1,Y45-64,F,2012,SI,21.7
THS,PTP_LD1,Y45-64,F,2012,SK,96.8
THS,PTP_LD1,Y45-64,F,2012,FI,64.5
THS,PTP_LD1,Y45-64,F,2012,SE,99.6
THS,PTP_LD1,Y45-64,F,2012,EEA,5108.1 e
THS,PTP_LD1,Y45-64,F,2012,IS,4.5
THS,PTP_LD1,Y45-64,F,2012,NO,51.1
THS,PTP_LD1,Y45-64,F,2012,UK,560.3
THS,PTP_LD1,Y45-64,M,2012,EU27_2007,4284.5 e
THS,PTP_LD1,Y45-64,M,2012,BE,73.0
THS,PTP_LD1,Y45-64,M,2012,BG,109.2
THS,PTP_LD1,Y45-64,M,2012,CZ,55.6
THS,PTP_LD1,Y45-64,M,2012,DK,42.4
THS,PTP_LD1,Y45-64,M,2012,DE,992.0
THS,PTP_LD1,Y45-64,M,2012,EE,9.7
THS,PTP_LD1,Y45-64,M,2012,EL,85.3
THS,PTP_LD1,Y45-64,M,2012,ES,330.4
THS,PTP_LD1,Y45-64,M,2012,FR,430.7
THS,PTP_LD1,Y45-64,M,2012,IT,235.1
THS,PTP_LD1,Y45-64,M,2012,CY,7.4
THS,PTP_LD1,Y45-64,M,2012,LV,21.0
THS,PTP_LD1,Y45-64,M,2012,LT,34.9
THS,PTP_LD1,Y45-64,M,2012,LU,7.4
THS,PTP_LD1,Y45-64,M,2012,HU,110.7
THS,PTP_LD1,Y45-64,M,2012,MT,3.7
THS,PTP_LD1,Y45-64,M,2012,NL,184.1
THS,PTP_LD1,Y45-64,M,2012,AT,108.2
THS,PTP_LD1,Y45-64,M,2012,PL,331.5
THS,PTP_LD1,Y45-64,M,2012,PT,100.9
THS,PTP_LD1,Y45-64,M,2012,RO,235.5
THS,PTP_LD1,Y45-64,M,2012,SI,29.2
THS,PTP_LD1,Y45-64,M,2012,SK,65.6
THS,PTP_LD1,Y45-64,M,2012,FI,90.1
THS,PTP_LD1,Y45-64,M,2012,SE,73.5
THS,PTP_LD1,Y45-64,M,2012,EEA,4322.3 e
THS,PTP_LD1,Y45-64,M,2012,IS,2.5
THS,PTP_LD1,Y45-64,M,2012,NO,35.2
THS,PTP_LD1,Y45-64,M,2012,UK,517.5
THS,PTP_LD1,Y45-64,T,2012,EU27_2007,9337.0 e
THS,PTP_LD1,Y45-64,T,2012,BE,221.2
THS,PTP_LD1,Y45-64,T,2012,BG,252.1
THS,PTP_LD1,Y45-64,T,2012,CZ,127.5
THS,PTP_LD1,Y45-64,T,2012,DK,89.7
THS,PTP_LD1,Y45-64,T,2012,DE,1979.5
THS,PTP_LD1,Y45-64,T,2012,EE,32.3
THS,PTP_LD1,Y45-64,T,2012,EL,218.9
THS,PTP_LD1,Y45-64,T,2012,ES,696.7
THS,PTP_LD1,Y45-64,T,2012,FR,981.9
THS,PTP_LD1,Y45-64,T,2012,IT,591.8
THS,PTP_LD1,Y45-64,T,2012,CY,14.7
THS,PTP_LD1,Y45-64,T,2012,LV,61.6
THS,PTP_LD1,Y45-64,T,2012,LT,83.2
THS,PTP_LD1,Y45-64,T,2012,LU,12.2
THS,PTP_LD1,Y45-64,T,2012,HU,270.4
THS,PTP_LD1,Y45-64,T,2012,MT,8.3
THS,PTP_LD1,Y45-64,T,2012,NL,385.8
THS,PTP_LD1,Y45-64,T,2012,AT,225.9
THS,PTP_LD1,Y45-64,T,2012,PL,790.2
THS,PTP_LD1,Y45-64,T,2012,PT,211.6
THS,PTP_LD1,Y45-64,T,2012,RO,462.8
THS,PTP_LD1,Y45-64,T,2012,SI,50.9
THS,PTP_LD1,Y45-64,T,2012,SK,162.3
THS,PTP_LD1,Y45-64,T,2012,FI,154.5
THS,PTP_LD1,Y45-64,T,2012,SE,173.1
THS,PTP_LD1,Y45-64,T,2012,EEA,9430.3 e
THS,PTP_LD1,Y45-64,T,2012,IS,7.0
THS,PTP_LD1,Y45-64,T,2012,NO,86.4
THS,PTP_LD1,Y45-64,T,2012,UK,1077.8
THS,PTP_LD1,Y_GE15,F,2012,EU27_2007,14269.7 e
THS,PTP_LD1,Y_GE15,F,2012,BE,394.1
THS,PTP_LD1,Y_GE15,F,2012,BG,338.8
THS,PTP_LD1,Y_GE15,F,2012,CZ,222.7
THS,PTP_LD1,Y_GE15,F,2012,DK,174.1
THS,PTP_LD1,Y_GE15,F,2012,DE,2888.8
THS,PTP_LD1,Y_GE15,F,2012,EE,58.7
THS,PTP_LD1,Y_GE15,F,2012,EL,342.9
THS,PTP_LD1,Y_GE15,F,2012,ES,1143.0
THS,PTP_LD1,Y_GE15,F,2012,FR,1346.6
THS,PTP_LD1,Y_GE15,F,2012,IT,1311.9
THS,PTP_LD1,Y_GE15,F,2012,CY,21.4
THS,PTP_LD1,Y_GE15,F,2012,LV,98.7
THS,PTP_LD1,Y_GE15,F,2012,LT,127.9
THS,PTP_LD1,Y_GE15,F,2012,LU,14.3
THS,PTP_LD1,Y_GE15,F,2012,HU,361.9
THS,PTP_LD1,Y_GE15,F,2012,MT,11.5
THS,PTP_LD1,Y_GE15,F,2012,NL,526.8
THS,PTP_LD1,Y_GE15,F,2012,AT,329.9
THS,PTP_LD1,Y_GE15,F,2012,PL,1251.6
THS,PTP_LD1,Y_GE15,F,2012,PT,288.4
THS,PTP_LD1,Y_GE15,F,2012,RO,493.5
THS,PTP_LD1,Y_GE15,F,2012,SI,60.2
THS,PTP_LD1,Y_GE15,F,2012,SK,220.0
THS,PTP_LD1,Y_GE15,F,2012,FI,154.5
THS,PTP_LD1,Y_GE15,F,2012,SE,325.1
THS,PTP_LD1,Y_GE15,F,2012,EEA,14433.7 e
THS,PTP_LD1,Y_GE15,F,2012,IS,10.6
THS,PTP_LD1,Y_GE15,F,2012,NO,153.4
THS,PTP_LD1,Y_GE15,F,2012,UK,1762.3
THS,PTP_LD1,Y_GE15,M,2012,EU27_2007,11667.2 e
THS,PTP_LD1,Y_GE15,M,2012,BE,285.3
THS,PTP_LD1,Y_GE15,M,2012,BG,261.8
THS,PTP_LD1,Y_GE15,M,2012,CZ,151.3
THS,PTP_LD1,Y_GE15,M,2012,DK,147.9
THS,PTP_LD1,Y_GE15,M,2012,DE,2851.8
THS,PTP_LD1,Y_GE15,M,2012,EE,30.3
THS,PTP_LD1,Y_GE15,M,2012,EL,264.4
THS,PTP_LD1,Y_GE15,M,2012,ES,869.4
THS,PTP_LD1,Y_GE15,M,2012,FR,1132.2
THS,PTP_LD1,Y_GE15,M,2012,IT,991.4
THS,PTP_LD1,Y_GE15,M,2012,CY,16.4
THS,PTP_LD1,Y_GE15,M,2012,LV,50.8
THS,PTP_LD1,Y_GE15,M,2012,LT,84.7
THS,PTP_LD1,Y_GE15,M,2012,LU,16.3
THS,PTP_LD1,Y_GE15,M,2012,HU,289.9
THS,PTP_LD1,Y_GE15,M,2012,MT,8.6
THS,PTP_LD1,Y_GE15,M,2012,NL,450.0
THS,PTP_LD1,Y_GE15,M,2012,AT,268.6
THS,PTP_LD1,Y_GE15,M,2012,PL,721.0
THS,PTP_LD1,Y_GE15,M,2012,PT,220.7
THS,PTP_LD1,Y_GE15,M,2012,RO,448.8
THS,PTP_LD1,Y_GE15,M,2012,SI,59.9
THS,PTP_LD1,Y_GE15,M,2012,SK,120.6
THS,PTP_LD1,Y_GE15,M,2012,FI,177.3
THS,PTP_LD1,Y_GE15,M,2012,SE,249.7
THS,PTP_LD1,Y_GE15,M,2012,EEA,11787.4 e
THS,PTP_LD1,Y_GE15,M,2012,IS,8.9
THS,PTP_LD1,Y_GE15,M,2012,NO,111.4
THS,PTP_LD1,Y_GE15,M,2012,UK,1497.9
THS,PTP_LD1,Y_GE15,T,2012,EU27_2007,25936.8 e
THS,PTP_LD1,Y_GE15,T,2012,BE,679.4
THS,PTP_LD1,Y_GE15,T,2012,BG,600.6
THS,PTP_LD1,Y_GE15,T,2012,CZ,374.0
THS,PTP_LD1,Y_GE15,T,2012,DK,321.9
THS,PTP_LD1,Y_GE15,T,2012,DE,5740.6
THS,PTP_LD1,Y_GE15,T,2012,EE,89.0
THS,PTP_LD1,Y_GE15,T,2012,EL,607.3
THS,PTP_LD1,Y_GE15,T,2012,ES,2012.4
THS,PTP_LD1,Y_GE15,T,2012,FR,2478.8
THS,PTP_LD1,Y_GE15,T,2012,IT,2303.3
THS,PTP_LD1,Y_GE15,T,2012,CY,37.8
THS,PTP_LD1,Y_GE15,T,2012,LV,149.5
THS,PTP_LD1,Y_GE15,T,2012,LT,212.6
THS,PTP_LD1,Y_GE15,T,2012,LU,30.6
THS,PTP_LD1,Y_GE15,T,2012,HU,651.8
THS,PTP_LD1,Y_GE15,T,2012,MT,20.1
THS,PTP_LD1,Y_GE15,T,2012,NL,976.9
THS,PTP_LD1,Y_GE15,T,2012,AT,598.5
THS,PTP_LD1,Y_GE15,T,2012,PL,1972.5
THS,PTP_LD1,Y_GE15,T,2012,PT,509.1
THS,PTP_LD1,Y_GE15,T,2012,RO,942.3
THS,PTP_LD1,Y_GE15,T,2012,SI,120.1
THS,PTP_LD1,Y_GE15,T,2012,SK,340.6
THS,PTP_LD1,Y_GE15,T,2012,FI,331.8
THS,PTP_LD1,Y_GE15,T,2012,SE,574.9
THS,PTP_LD1,Y_GE15,T,2012,EEA,26221.1 e
THS,PTP_LD1,Y_GE15,T,2012,IS,19.4
THS,PTP_LD1,Y_GE15,T,2012,NO,264.9
THS,PTP_LD1,Y_GE15,T,2012,UK,3260.2
THS,PTP_LD1,Y_GE65,F,2012,EU27_2007,5443.5 e
THS,PTP_LD1,Y_GE65,F,2012,BE,101.5
THS,PTP_LD1,Y_GE65,F,2012,BG,149.5
THS,PTP_LD1,Y_GE65,F,2012,CZ,99.1
THS,PTP_LD1,Y_GE65,F,2012,DK,61.9
THS,PTP_LD1,Y_GE65,F,2012,DE,1022.4
THS,PTP_LD1,Y_GE65,F,2012,EE,25.1
THS,PTP_LD1,Y_GE65,F,2012,EL,140.8
THS,PTP_LD1,Y_GE65,F,2012,ES,459.7
THS,PTP_LD1,Y_GE65,F,2012,FR,471.0
THS,PTP_LD1,Y_GE65,F,2012,IT,694.1
THS,PTP_LD1,Y_GE65,F,2012,CY,7.9
THS,PTP_LD1,Y_GE65,F,2012,LV,39.7
THS,PTP_LD1,Y_GE65,F,2012,LT,55.7
THS,PTP_LD1,Y_GE65,F,2012,LU,3.7
THS,PTP_LD1,Y_GE65,F,2012,HU,110.0
THS,PTP_LD1,Y_GE65,F,2012,MT,4.8
THS,PTP_LD1,Y_GE65,F,2012,NL,134.9
THS,PTP_LD1,Y_GE65,F,2012,AT,150.1
THS,PTP_LD1,Y_GE65,F,2012,PL,560.3
THS,PTP_LD1,Y_GE65,F,2012,PT,121.0
THS,PTP_LD1,Y_GE65,F,2012,RO,206.9
THS,PTP_LD1,Y_GE65,F,2012,SI,25.1
THS,PTP_LD1,Y_GE65,F,2012,SK,82.2
THS,PTP_LD1,Y_GE65,F,2012,FI,53.4
THS,PTP_LD1,Y_GE65,F,2012,SE,108.0
THS,PTP_LD1,Y_GE65,F,2012,EEA,5482.7 e
THS,PTP_LD1,Y_GE65,F,2012,IS,2.1
THS,PTP_LD1,Y_GE65,F,2012,NO,37.1
THS,PTP_LD1,Y_GE65,F,2012,UK,554.7
THS,PTP_LD1,Y_GE65,M,2012,EU27_2007,3914.2 e
THS,PTP_LD1,Y_GE65,M,2012,BE,80.4
THS,PTP_LD1,Y_GE65,M,2012,BG,107.2
THS,PTP_LD1,Y_GE65,M,2012,CZ,58.2
THS,PTP_LD1,Y_GE65,M,2012,DK,33.9
THS,PTP_LD1,Y_GE65,M,2012,DE,911.4
THS,PTP_LD1,Y_GE65,M,2012,EE,10.3
THS,PTP_LD1,Y_GE65,M,2012,EL,131.9
THS,PTP_LD1,Y_GE65,M,2012,ES,324.2
THS,PTP_LD1,Y_GE65,M,2012,FR,385.3
THS,PTP_LD1,Y_GE65,M,2012,IT,478.7
THS,PTP_LD1,Y_GE65,M,2012,CY,4.3
THS,PTP_LD1,Y_GE65,M,2012,LV,17.6
THS,PTP_LD1,Y_GE65,M,2012,LT,21.0
THS,PTP_LD1,Y_GE65,M,2012,LU,3.0
THS,PTP_LD1,Y_GE65,M,2012,HU,93.1
THS,PTP_LD1,Y_GE65,M,2012,MT,3.6
THS,PTP_LD1,Y_GE65,M,2012,NL,127.9
THS,PTP_LD1,Y_GE65,M,2012,AT,88.5
THS,PTP_LD1,Y_GE65,M,2012,PL,220.2
THS,PTP_LD1,Y_GE65,M,2012,PT,82.4
THS,PTP_LD1,Y_GE65,M,2012,RO,163.7
THS,PTP_LD1,Y_GE65,M,2012,SI,18.8
THS,PTP_LD1,Y_GE65,M,2012,SK,22.4
THS,PTP_LD1,Y_GE65,M,2012,FI,43.3
THS,PTP_LD1,Y_GE65,M,2012,SE,89.1
THS,PTP_LD1,Y_GE65,M,2012,EEA,3940.1 e
THS,PTP_LD1,Y_GE65,M,2012,IS,2.4
THS,PTP_LD1,Y_GE65,M,2012,NO,23.5
THS,PTP_LD1,Y_GE65,M,2012,UK,393.9
THS,PTP_LD1,Y_GE65,T,2012,EU27_2007,9357.7 e
THS,PTP_LD1,Y_GE65,T,2012,BE,181.9
THS,PTP_LD1,Y_GE65,T,2012,BG,256.6
THS,PTP_LD1,Y_GE65,T,2012,CZ,157.2
THS,PTP_LD1,Y_GE65,T,2012,DK,95.8
THS,PTP_LD1,Y_GE65,T,2012,DE,1933.8
THS,PTP_LD1,Y_GE65,T,2012,EE,35.4
THS,PTP_LD1,Y_GE65,T,2012,EL,272.7
THS,PTP_LD1,Y_GE65,T,2012,ES,783.9
THS,PTP_LD1,Y_GE65,T,2012,FR,856.3
THS,PTP_LD1,Y_GE65,T,2012,IT,1172.8
THS,PTP_LD1,Y_GE65,T,2012,CY,12.2
THS,PTP_LD1,Y_GE65,T,2012,LV,57.3
THS,PTP_LD1,Y_GE65,T,2012,LT,76.7
THS,PTP_LD1,Y_GE65,T,2012,LU,6.7
THS,PTP_LD1,Y_GE65,T,2012,HU,203.2
THS,PTP_LD1,Y_GE65,T,2012,MT,8.4
THS,PTP_LD1,Y_GE65,T,2012,NL,262.8
THS,PTP_LD1,Y_GE65,T,2012,AT,238.6
THS,PTP_LD1,Y_GE65,T,2012,PL,780.5
THS,PTP_LD1,Y_GE65,T,2012,PT,203.4
THS,PTP_LD1,Y_GE65,T,2012,RO,370.6
THS,PTP_LD1,Y_GE65,T,2012,SI,43.9
THS,PTP_LD1,Y_GE65,T,2012,SK,104.6
THS,PTP_LD1,Y_GE65,T,2012,FI,96.7
THS,PTP_LD1,Y_GE65,T,2012,SE,197.1
THS,PTP_LD1,Y_GE65,T,2012,EEA,9422.8 e
THS,PTP_LD1,Y_GE65,T,2012,IS,4.5
THS,PTP_LD1,Y_GE65,T,2012,NO,60.7
THS,PTP_LD1,Y_GE65,T,2012,UK,948.6
THS,PTP_LD2-3,Y15-44,F,2012,EU27_2007,2273.1 e
THS,PTP_LD2-3,Y15-44,F,2012,BE,70.8
THS,PTP_LD2-3,Y15-44,F,2012,BG,19.4 u
THS,PTP_LD2-3,Y15-44,F,2012,CZ,16.0 u
