unit,hlth_pb,age,sex,time\geo,EU28 ,BE ,BG ,CZ ,DK ,DE ,EE ,IE ,EL ,ES ,FR ,HR ,IT ,CY ,LV ,LT ,LU ,HU ,MT ,NL ,AT ,PL ,PT ,RO ,SI ,SK ,FI ,SE ,IS ,CH ,UK ,TR 
PC,PB1041,Y55-64,T,2011,6.5 ,2.8 ,8.5 ,5.0 ,4.9 ,6.3 ,10.2 ,8.7 ,7.4 ,14.7 ,6.7 ,9.2 u,3.5 ,4.1 ,13.5 ,12.4 ,: u,8.1 ,: u,3.9 ,: u,6.4 ,11.0 ,4.1 ,6.7 u,9.5 ,6.0 ,4.3 ,6.7 ,2.3 ,4.3 ,5.2 
PC,PB1070,TOTAL,F,2011,17.1 ,13.9 ,23.2 u,21.2 ,11.6 ,20.0 ,21.7 ,16.0 ,15.8 ,30.0 ,21.3 ,21.7 u,10.3 ,11.6 u,18.7 ,23.1 ,7.9 u,24.1 ,: u,7.6 u,9.0 ,15.3 ,16.2 ,7.8 ,11.1 u,20.2 ,10.1 ,11.0 ,9.9 ,6.4 ,13.2 ,4.9 
PC,PB1070,TOTAL,M,2011,17.7 ,13.6 ,20.3 u,20.7 ,15.2 ,23.2 ,33.8 ,28.1 ,15.2 ,26.2 ,18.6 ,14.3 u,12.4 ,11.1 ,25.9 ,31.7 ,8.2 u,26.0 ,: u,11.9 u,6.9 ,14.6 ,16.6 ,10.5 ,12.1 u,23.0 ,11.8 ,11.9 ,15.1 ,5.5 ,16.9 ,8.9 
PC,PB1070,TOTAL,T,2011,17.4 ,13.8 ,21.7 ,21.0 ,13.2 ,21.7 ,27.2 ,22.9 ,15.5 ,28.2 ,20.1 ,17.6 u,11.4 ,11.3 ,21.5 ,26.9 ,8.0 ,25.0 ,: u,9.5 ,7.9 ,14.9 ,16.4 ,9.1 ,11.7 ,21.6 ,10.9 ,11.4 ,12.2 ,6.0 ,15.0 ,7.4 
PC,PB1070,Y15-24,F,2011,29.5 ,: u,: u,43.8 u,: u,: u,: u,: u,: u,45.1 ,: u,: u,53.7 u,: u,: u,: u,: u,: u,: u,13.6 u,: u,: u,: u,: u,: u,: u,28.7 u,24.5 ,: u,: u,22.0 ,14.1 
PC,PB1070,Y15-24,M,2011,34.7 ,: u,: u,32 u,31.8 u,: u,: u,: u,: u,62.8 ,: u,: u,38.2 u,: u,: u,: u,: u,: u,: u,14.4 u,: u,: u,: u,: u,: u,: u,31.3 u,38.9 ,: u,9 u,39.8 ,14.3 
PC,PB1070,Y15-24,T,2011,32.0 ,30.7 u,: u,36.7 u,18.6 u,: u,: u,45.9 ,: u,54.8 ,34.8 u,: u,44.5 ,: u,: u,: u,: u,: u,: u,13.9 u,: u,31.8 u,: u,: u,: u,: u,29.9 ,30.1 ,21.8 ,7.1 u,30.5 ,14.3 
PC,PB1070,Y25-34,F,2011,23.6 ,25.4 u,: u,24.7 u,18.9 u,: u,: u,: u,: u,30.0 ,29 u,: u,13.9 u,: u,: u,: u,: u,: u,: u,6.7 u,: u,18.7 u,15.2 ,: u,18 u,: u,8 u,15.4 ,: u,7.6 u,19.1 ,10.9 
PC,PB1070,Y25-34,M,2011,20.6 ,30.3 u,: u,21.4 u,18.8 u,: u,: u,34.8 ,: u,38.0 ,: u,: u,20.0 ,: u,: u,: u,: u,29.4 u,: u,20.5 u,: u,16.1 u,: u,: u,13.1 u,49.8 ,13.1 u,: u,: u,: u,18.8 ,10.8 
PC,PB1070,Y25-34,T,2011,22.1 ,27.5 ,: u,22.9 ,18.8 ,30.5 ,: u,27.6 ,26.8 u,33.9 ,23.4 ,: u,17.3 ,: u,: u,: u,: u,28.3 ,: u,11.9 u,: u,17.1 u,16.7 ,: u,15.4 u,40.7 ,10.4 ,12.8 ,18.7 ,5.6 u,19.0 ,10.8 
PC,PB1070,Y25-64,F,2011,16.4 ,13.2 ,23.4 u,20.6 ,12.0 ,19.1 ,21.9 ,14.6 ,15.5 ,29.6 ,20.4 ,21.1 u,9.7 ,11.1 u,17.5 ,22.7 ,7 u,23.9 ,: u,7.1 u,8.5 ,14.8 ,15.7 ,7.6 ,10.5 u,20.7 ,8.8 ,9.6 ,7.5 ,6.5 ,12.3 ,4.4 
PC,PB1070,Y25-64,M,2011,16.8 ,13.0 ,19.9 u,20.2 ,13.5 ,22.8 ,33.5 ,26.7 ,14.5 ,24.8 ,18.1 ,13.1 u,11.9 ,10.5 ,26.4 ,31.0 ,7.8 u,25.4 ,: u,11.7 u,6.8 ,14.1 ,15.9 ,9.5 ,12.3 u,21.4 ,10.3 ,9.7 ,12.4 ,5.0 ,14.6 ,8.6 
PC,PB1070,Y25-64,T,2011,16.6 ,13.1 ,21.7 ,20.4 ,12.6 ,21.0 ,27.1 ,21.5 ,14.9 ,27.3 ,19.3 ,16.7 u,10.9 ,10.7 ,21.0 ,26.3 ,7.4 ,24.6 ,: u,9.1 ,7.6 ,14.4 ,15.8 ,8.5 ,11.5 ,21.0 ,9.4 ,9.6 ,9.7 ,5.8 ,13.4 ,7.0 
PC,PB1070,Y35-44,F,2011,18.1 ,11.5 u,: u,25.6 ,10.9 u,: u,: u,: u,25.7 u,30.0 ,24.6 u,: u,11.7 ,: u,: u,: u,: u,33.8 ,: u,6.6 u,14.2 u,16.9 u,18.5 ,: u,6.8 u,21.1 ,13.0 ,10.0 ,: u,7.4 u,14.6 ,5.2 
PC,PB1070,Y35-44,M,2011,18.4 ,12.8 u,: u,19.4 u,13.3 u,27.3 ,: u,27.5 ,19.4 u,22.4 ,22.1 u,: u,13.8 ,17.7 u,: u,: u,: u,19.5 u,: u,16.4 u,: u,13.7 u,14.2 ,: u,9.8 u,20 u,13.0 ,11.8 u,: u,8.1 u,14.7 ,9.4 
PC,PB1070,Y35-44,T,2011,18.3 ,12.1 ,: u,22.8 ,12.0 ,21.5 ,29.5 u,22.6 ,22.4 u,26.4 ,23.4 ,24.5 u,12.9 ,18.9 u,: u,26.7 u,8.2 u,27.2 ,: u,10.6 u,8.2 u,15.3 ,16.6 ,12.3 u,8.2 u,20.6 ,13.0 ,10.8 ,: u,7.8 ,14.7 ,7.9 
PC,PB1070,Y45-54,F,2011,14.4 ,8.6 u,: u,20.5 ,12.4 u,17.7 ,27.6 u,15.7 ,16.3 u,30.1 ,14 u,: u,8.8 ,: u,: u,25.6 u,: u,24.2 ,: u,7.7 u,: u,15.6 ,16.7 ,11.8 u,11.7 u,19.4 ,6.6 u,9.2 ,: u,4.7 u,8.9 ,2.7 
PC,PB1070,Y45-54,M,2011,15.2 ,9.6 u,: u,25.7 ,: u,19.4 ,: u,23.4 ,13.5 u,20.8 ,16.9 u,: u,9.9 ,14 u,: u,28.6 u,: u,27.9 ,: u,8.8 u,7.4 u,15.6 ,16.7 ,13.3 u,12.2 u,17.8 ,7.9 u,9.1 u,: u,6.2 u,11.9 ,7.9 
PC,PB1070,Y45-54,T,2011,14.8 ,9.0 ,: u,22.8 ,10.6 ,18.6 ,26 u,19.8 ,14.7 u,25.8 ,15.3 ,12.9 u,9.4 ,10.6 u,15.4 u,26.8 ,7.8 u,25.9 ,: u,8.2 u,6.2 u,15.6 ,16.7 ,12.4 ,12 u,18.6 ,7.2 ,9.2 ,: u,5.4 ,10.2 ,5.8 
PC,PB1070,Y55-64,F,2011,13.7 ,14.3 u,: u,14.4 u,: u,: u,: u,: u,: u,28.1 ,19.6 u,: u,6.8 u,: u,28 u,: u,: u,16.8 ,: u,6.9 u,: u,11 u,12.8 ,: u,: u,17.8 u,8.5 ,6.3 u,: u,7.8 u,10.7 ,0.9 
PC,PB1070,Y55-64,M,2011,15.5 ,7.7 u,: u,15.7 ,15.9 u,24.4 ,43.4 u,25.2 ,10.3 u,24.3 ,: u,: u,8.8 ,: u,: u,: u,: u,24.1 ,: u,8 u,: u,12.2 ,15.3 ,: u,14.4 u,16.1 u,8.9 u,8.6 u,: u,: u,15.0 ,5.7 
PC,PB1070,Y55-64,T,2011,14.6 ,10.6 u,17.2 u,15.2 ,11.4 ,20.1 ,26.6 u,19.0 ,8.9 u,26.1 ,17.8 u,13.9 u,7.9 ,: u,27.4 ,22.2 u,: u,19.7 ,: u,7.5 u,8.7 u,11.7 ,13.9 ,3.6 u,11.3 u,16.8 ,8.7 ,7.3 ,: u,5 u,13.2 ,3.7 
PC,PB1071,TOTAL,F,2011,9.4 ,5.9 ,9.7 ,7.0 ,6.5 ,5.8 ,10.5 ,10.6 ,20.5 ,21.9 ,8.5 ,13.0 ,9.1 ,6.8 ,13.9 ,11.9 ,6.2 ,10.1 ,8.2 ,4.0 ,3.8 ,10.0 ,12.2 ,7.2 ,6.8 ,12.3 ,6.5 ,6.9 ,6.5 ,4.1 ,6.9 ,10.9 
PC,PB1071,TOTAL,M,2011,9.3 ,5.8 ,12.3 ,5.0 ,7.1 ,6.4 ,11.6 ,17.9 ,13.8 ,21.3 ,7.3 ,14.0 ,6.8 ,7.5 ,20.2 ,18.1 ,3.7 ,10.2 ,6.5 ,4.0 ,3.7 ,8.7 ,12.2 ,7.6 ,7.4 ,13.0 ,8.2 ,7.2 ,8.1 ,3.4 ,8.3 ,8.1 
PC,PB1071,TOTAL,T,2011,9.4 ,5.8 ,11.1 ,5.9 ,6.8 ,6.1 ,11.1 ,14.6 ,16.6 ,21.6 ,7.9 ,13.6 ,7.8 ,7.1 ,17.1 ,15.0 ,4.8 ,10.2 ,7.1 ,4.0 ,3.8 ,9.3 ,12.2 ,7.4 ,7.1 ,12.7 ,7.4 ,7.0 ,7.4 ,3.7 ,7.6 ,8.9 
PC,PB1071,Y15-24,F,2011,20.9 ,15.8 ,23.0 ,17.2 ,11.7 ,9.1 ,21.3 ,23.6 ,51.2 ,44.4 ,22.0 ,37.6 u,32.3 ,18.9 ,35.6 ,27.0 ,21.7 ,22.5 ,16.9 u,7.6 ,8.1 ,26.7 ,26.9 ,21.8 ,12.9 u,31.9 ,17.5 ,21.4 ,13.6 ,7.7 ,18.0 ,18.6 
PC,PB1071,Y15-24,M,2011,21.8 ,16.1 ,26.2 ,17.8 ,15.4 ,11.0 ,24.2 ,35.3 ,36.1 ,48.5 ,19.2 ,34 u,24.1 ,22.3 ,32.9 ,37.8 ,13.8 u,25.2 ,16.7 u,7.2 ,6.8 ,23.0 ,27.4 ,21.5 ,12.8 u,31.4 ,21.3 ,22.8 ,20.5 ,6.5 ,22.9 ,14.9 
PC,PB1071,Y15-24,T,2011,21.4 ,16.0 ,24.9 ,17.5 ,13.6 ,10.1 ,22.9 ,29.5 ,43.0 ,46.6 ,20.4 ,35.2 ,27.5 ,20.6 ,34.1 ,33.4 ,17.5 ,24.0 ,16.8 ,7.4 ,7.4 ,24.5 ,27.1 ,21.7 ,12.9 u,31.6 ,19.4 ,22.1 ,17.2 ,7.1 ,20.6 ,16.2 
PC,PB1071,Y25-34,F,2011,11.1 ,7.3 ,12.1 ,8.6 ,8.4 ,5.4 ,12.1 ,11.0 ,27.4 ,24.0 ,10.1 ,16.6 u,13.0 ,6.3 ,11.5 ,11.0 ,6.1 ,11.3 ,: u,2.9 u,4.8 ,11.6 ,13.4 ,6.8 ,8.9 ,13.6 ,7.0 ,6.4 ,7.9 ,3.2 ,7.0 ,12.0 
PC,PB1071,Y25-34,M,2011,10.5 ,7.2 ,13.8 ,5.0 ,8.1 ,8.3 ,12.1 ,21.3 ,19.5 ,23.9 ,8.0 ,18.7 u,9.1 ,9.3 ,19.0 ,19.1 ,4.0 ,9.8 ,6.3 u,4 u,4.4 ,8.4 ,12.4 ,7.8 ,9.5 ,14.0 ,7.4 ,6.7 ,7.2 ,4.4 ,7.6 ,7.9 
PC,PB1071,Y25-34,T,2011,10.8 ,7.3 ,13.0 ,6.4 ,8.2 ,7.0 ,12.1 ,16.4 ,23.0 ,24.0 ,9.0 ,17.8 ,10.8 ,7.8 ,15.5 ,15.2 ,4.9 ,10.4 ,5.8 u,3.5 ,4.6 ,9.8 ,12.9 ,7.3 ,9.2 ,13.8 ,7.2 ,6.6 ,7.6 ,3.8 ,7.3 ,9.1 
PC,PB1071,Y25-64,F,2011,8.0 ,4.9 ,8.7 ,6.3 ,5.3 ,5.3 ,9.2 ,8.8 ,18.2 ,19.6 ,6.9 ,11.0 ,7.4 ,5.3 ,11.5 ,10.8 ,5.0 ,9.3 ,6 u,3.3 ,3.1 ,8.3 ,10.8 ,5.6 ,6.3 ,10.8 ,4.8 ,4.4 ,4.7 ,3.5 ,4.8 ,8.6 
PC,PB1071,Y25-64,M,2011,7.8 ,4.9 ,11.0 ,3.9 ,5.5 ,5.8 ,9.9 ,15.7 ,12.3 ,18.9 ,5.9 ,11.4 ,5.6 ,5.9 ,18.4 ,15.9 ,3.0 ,9.0 ,4.8 ,3.4 ,3.2 ,7.0 ,10.7 ,6.1 ,6.8 ,10.9 ,6.3 ,4.7 ,5.2 ,2.9 ,5.7 ,6.8 
PC,PB1071,Y25-64,T,2011,7.9 ,4.9 ,9.9 ,4.9 ,5.4 ,5.5 ,9.6 ,12.6 ,14.8 ,19.2 ,6.4 ,11.2 ,6.4 ,5.6 ,15.0 ,13.3 ,3.8 ,9.1 ,5.2 ,3.3 ,3.1 ,7.6 ,10.7 ,5.9 ,6.5 ,10.9 ,5.6 ,4.6 ,5.0 ,3.2 ,5.3 ,7.3 
PC,PB1071,Y35-44,F,2011,8.0 ,3.9 ,7.8 ,6.2 ,5.7 ,5.4 ,8.8 ,9.0 ,16.9 ,19.9 ,6.7 ,11.9 u,6.8 ,4.6 ,13.8 ,10.1 ,5.3 ,9.5 ,: u,3.3 u,2.8 u,7.0 ,10.1 ,6.4 ,4.3 u,10.8 ,3.5 ,4.6 ,: u,4.9 ,5.1 ,6.6 
PC,PB1071,Y35-44,M,2011,7.0 ,5.2 ,9.9 ,3.0 ,3.8 ,4.5 ,8.1 ,14.4 ,10.3 ,18.2 ,5.8 ,8.8 u,5.2 ,5.6 ,17.8 ,14.1 ,2.4 u,9.3 ,: u,3 u,2.9 ,5.7 ,9.1 ,5.2 ,5.7 u,8.6 ,5.1 ,3.7 ,: u,3.2 ,4.5 ,5.5 
PC,PB1071,Y35-44,T,2011,7.5 ,4.6 ,8.9 ,4.4 ,4.7 ,4.9 ,8.4 ,12.1 ,13.2 ,19.0 ,6.2 ,10.3 u,5.9 ,5.1 ,15.8 ,12.0 ,3.7 ,9.4 ,4.8 u,3.1 ,2.8 ,6.3 ,9.6 ,5.7 ,5.0 ,9.6 ,4.4 ,4.1 ,: u,4.0 ,4.8 ,5.8 
PC,PB1071,Y45-54,F,2011,6.3 ,4.2 ,7.3 ,5.2 ,3.5 ,4.7 ,8.3 ,6.8 ,12.6 ,16.8 ,5.1 ,7.4 u,4.8 ,5.4 ,10.5 ,11.6 ,4.2 u,8.1 ,: u,3.4 u,2.2 u,7.1 ,9.1 ,4.6 ,5.3 u,9.4 ,4.4 ,3.1 ,: u,3.2 ,3.8 ,5.8 
PC,PB1071,Y45-54,M,2011,6.4 ,3.5 ,10.5 ,3.4 ,5.0 ,4.9 ,9.3 ,13.0 ,9.6 ,16.1 ,4.1 ,7.9 u,4.0 ,2.9 u,18.3 ,15.1 ,2.8 u,7.9 ,: u,3 u,2.7 u,6.6 ,9.6 ,5.1 ,5.1 u,9.9 ,5.9 ,4.0 ,6.8 ,1.6 ,5.2 ,6.5 
PC,PB1071,Y45-54,T,2011,6.4 ,3.8 ,8.9 ,4.2 ,4.3 ,4.8 ,8.8 ,10.3 ,10.8 ,16.4 ,4.6 ,7.6 u,4.3 ,4.1 ,14.3 ,13.3 ,3.4 ,8.0 ,5.3 u,3.2 ,2.4 ,6.9 ,9.4 ,4.9 ,5.2 ,9.6 ,5.2 ,3.6 ,5.2 ,2.3 ,4.5 ,6.3 
PC,PB1071,Y55-64,F,2011,5.1 ,3.3 u,7.5 ,4.4 ,3.6 u,5.8 ,7 u,5.3 ,8.1 ,12.2 ,4.9 u,7.9 u,2.8 ,3.6 u,8.9 u,10.0 ,: u,6.8 ,: u,3.4 u,: u,4.9 ,9.4 ,: u,5.8 u,7.1 ,4.3 ,3.4 ,: u,1.8 u,2.5 ,2.3 
PC,PB1071,Y55-64,M,2011,6.5 ,2.3 u,8.9 ,4.5 ,5.7 ,5.7 ,9.7 u,10.6 ,7.1 ,14.5 ,5.4 u,9.8 u,3.6 ,4 u,18.9 ,14.9 ,: u,8.4 ,: u,4 u,: u,6.8 ,12.4 ,5.8 ,5.6 u,10.2 ,7.2 ,4.5 ,: u,2.7 ,5.1 ,6.4 
PC,PB1071,Y55-64,T,2011,5.9 ,2.7 ,8.3 ,4.5 ,4.8 ,5.8 ,8.2 ,8.4 ,7.5 ,13.6 ,5.2 ,9 u,3.3 ,3.8 ,13.6 ,12.4 ,: u,7.6 ,: u,3.7 ,2.2 u,6.1 ,11.1 ,4.1 ,5.7 u,9.0 ,5.8 ,4.0 ,: u,2.3 ,3.9 ,5.5 
